governance,privacy,technical,ethics,org_capability,org_size,readiness_score
1,3,4,4,4,2,57.329916509591236
4,2,4,3,5,0,66.6779409038441
4,2,5,5,4,2,71.9296540355736
3,2,5,4,3,1,59.66701865134577
3,3,4,1,3,2,57.75758049764673
5,2,2,2,2,1,55.672066102056995
1,5,3,2,2,0,49.57196503820869
4,3,3,3,4,2,75.73544743065804
2,5,4,2,1,1,60.58837160903634
1,4,5,5,1,1,69.35021466963462
3,2,2,2,2,1,43.33373908658652
5,2,3,3,4,1,70.22388141899329
4,4,1,1,4,1,58.72261991871833
4,2,4,5,3,0,62.51188845240939
4,2,3,5,3,0,74.14169153131957
4,5,3,4,1,0,74.32423196483794
3,3,3,2,2,0,58.73209109816481
1,1,2,1,1,2,20.239856387692207
5,3,3,4,4,0,76.17577809210118
3,3,4,3,4,0,61.665738200383224
3,5,2,5,2,0,76.17999241381696
2,4,1,4,2,2,53.55704673725338
1,1,2,3,2,1,33.835267633404435
5,1,1,5,5,0,70.79092073552489
4,4,2,5,3,1,78.78170648449513
4,1,4,3,4,0,65.82671268068142
3,2,1,1,3,0,33.89136326481269
5,1,4,1,4,0,58.52160440241657
3,1,2,3,3,2,40.98055931994324
3,5,5,3,2,0,79.637668468129
3,1,4,1,5,1,52.85325970875026
2,1,2,1,4,2,29.047437831847027
1,5,3,4,4,2,62.056278934943876
3,1,1,4,5,1,41.529438321406104
5,5,1,1,2,0,65.7342175596512
1,1,5,3,1,1,33.72313748006408
5,1,5,1,3,0,66.64413746692307
5,1,1,4,2,1,56.889813130170374
2,4,2,5,3,0,70.53974246673441
4,4,1,5,2,1,71.23936644748673
1,3,2,3,2,1,39.8854287208875
4,2,2,4,2,2,62.090350466372435
4,1,2,5,2,1,49.011680595274115
2,3,3,4,4,2,54.18763698159458
1,2,1,3,3,1,36.66571266037555
5,3,5,4,3,2,72.20875168626037
3,4,4,3,1,1,64.8141960753306
5,5,4,5,3,2,86.8986835394079
4,3,1,3,1,1,54.50653527576631
4,1,4,5,2,2,58.61131820976368
4,2,5,1,3,1,65.12124068727596
1,5,1,1,1,1,40.09663711833695
2,3,4,1,2,1,57.001829584406664
3,4,2,3,2,2,59.03367267050812
3,3,4,4,5,1,67.15678597519268
1,1,3,2,5,0,37.765570720863586
3,5,5,1,1,2,61.27881801491634
1,4,1,5,4,2,55.0306862735272
4,5,2,4,4,0,79.94925123157635
4,5,2,4,2,2,85.3459801834641
5,2,2,3,3,1,59.890820046977964
4,2,2,3,4,0,57.66102713162409
2,2,2,1,2,1,34.12120737780892
5,5,1,1,1,2,65.06056850565612
3,3,4,5,2,0,69.90845267239807
2,3,3,2,2,2,48.73312577785745
5,5,5,4,2,1,96.43162958436514
2,4,4,4,2,0,60.91510248122613
1,5,1,2,1,1,47.93087023945356
3,5,1,2,5,1,65.6924892682054
4,1,3,4,1,2,54.93985040050527
1,2,3,1,4,2,37.425316796214275
3,4,2,3,4,0,75.13333879365685
1,5,4,5,4,2,65.9149567462896
4,1,3,4,5,1,64.48966588484207
3,2,4,4,1,0,54.24890464878934
2,3,1,1,2,2,46.92810374310653
2,4,5,1,1,1,61.434131643996025
3,1,2,2,3,1,39.60825060579428
4,4,3,2,4,2,72.56297496715614
5,2,3,1,5,0,66.28847860638278
3,2,5,5,2,0,64.4168761901263
1,3,2,1,2,2,39.790821086140866
5,3,2,4,5,0,76.94652695552205
4,4,2,3,4,0,70.07849356942977
4,2,2,4,4,0,61.790401443788355
1,5,1,2,3,2,49.15527246299825
2,1,1,2,3,0,34.1469383074623
4,5,2,4,2,0,73.2954666651251
5,1,3,2,4,1,57.79492042006218
3,4,2,4,2,0,70.46883120381246
5,2,2,1,5,1,55.747900283257266
5,2,4,1,1,1,63.138181094398725
2,1,2,4,3,1,41.39879628849284
5,4,5,4,2,1,94.7977363472465
2,1,4,1,4,2,39.48258731388079
2,4,1,5,4,1,55.32368369119834
4,4,2,1,5,1,60.15090968369087
4,5,1,5,4,0,77.61732525475306
1,4,2,4,2,0,43.134746702156804
5,2,2,5,2,0,64.60735752621117
1,4,1,5,5,0,44.23817088572858
